observation_date,MRTSSM44511USN
2001-01-01,31657
2001-02-01,29913
2001-03-01,33084
2001-04-01,31911
2001-05-01,34154
2001-06-01,33317
2001-07-01,33437
2001-08-01,33920
2001-09-01,32574
2001-10-01,33026
2001-11-01,33571
2001-12-01,35974
2002-01-01,32836
2002-02-01,30391
2002-03-01,34034
2002-04-01,31360
2002-05-01,34485
2002-06-01,32932
2002-07-01,33849
2002-08-01,34044
2002-09-01,31689
2002-10-01,32973
2002-11-01,33812
2002-12-01,34867
2003-01-01,33618
2003-02-01,30796
2003-03-01,33438
2003-04-01,33102
2003-05-01,35203
2003-06-01,33364
2003-07-01,35141
2003-08-01,34704
2003-09-01,32872
2003-10-01,34025
2003-11-01,34097
2003-12-01,35914
2004-01-01,34761
2004-02-01,32066
2004-03-01,34081
2004-04-01,34064
2004-05-01,35785
2004-06-01,34405
2004-07-01,36142
2004-08-01,34629
2004-09-01,34442
2004-10-01,35064
2004-11-01,35117
2004-12-01,38249
2005-01-01,35458
2005-02-01,32674
2005-03-01,36393
2005-04-01,35083
2005-05-01,36840
2005-06-01,36341
2005-07-01,37333
2005-08-01,36647
2005-09-01,35859
2005-10-01,36322
2005-11-01,36619
2005-12-01,39954
2006-01-01,35773
2006-02-01,33851
2006-03-01,36978
2006-04-01,36338
2006-05-01,38267
2006-06-01,37510
2006-07-01,38247
2006-08-01,38231
2006-09-01,36817
2006-10-01,37407
2006-11-01,38171
2006-12-01,41102
2007-01-01,37883
2007-02-01,35480
2007-03-01,38930
2007-04-01,37337
2007-05-01,40144
2007-06-01,39257
2007-07-01,39563
2007-08-01,39847
2007-09-01,38278
2007-10-01,39006
2007-11-01,40058
2007-12-01,42581
2008-01-01,40060
2008-02-01,38147
2008-03-01,40692
2008-04-01,39083
2008-05-01,42481
2008-06-01,40261
2008-07-01,41942
2008-08-01,41935
2008-09-01,39465
2008-10-01,41013
2008-11-01,41088
2008-12-01,42373
2009-01-01,41365
2009-02-01,36975
2009-03-01,39627
2009-04-01,40084
2009-05-01,42227
2009-06-01,40312
2009-07-01,41970
2009-08-01,41155
2009-09-01,39768
2009-10-01,41222
2009-11-01,40753
2009-12-01,43570
2010-01-01,41185
2010-02-01,38400
2010-03-01,41542
2010-04-01,40354
2010-05-01,42658
2010-06-01,40944
2010-07-01,42598
2010-08-01,41357
2010-09-01,40710
2010-10-01,41591
2010-11-01,41897
2010-12-01,44770
2011-01-01,42501
2011-02-01,39485
2011-03-01,43103
2011-04-01,43535
2011-05-01,44129
2011-06-01,43716
2011-07-01,44937
2011-08-01,44275
2011-09-01,42867
2011-10-01,43751
2011-11-01,44156
2011-12-01,46916
2012-01-01,43576
2012-02-01,42275
2012-03-01,45239
2012-04-01,43700
2012-05-01,46239
2012-06-01,45077
2012-07-01,45349
2012-08-01,45861
2012-09-01,44017
2012-10-01,44943
2012-11-01,45440
2012-12-01,47464
2013-01-01,45248
2013-02-01,42051
2013-03-01,46878
2013-04-01,43327
2013-05-01,47387
2013-06-01,45633
2013-07-01,46573
2013-08-01,47055
2013-09-01,44408
2013-10-01,46196
2013-11-01,46893
2013-12-01,48337
2014-01-01,47421
2014-02-01,43368
2014-03-01,47066
2014-04-01,46711
2014-05-01,49588
2014-06-01,47306
2014-07-01,49114
2014-08-01,49035
2014-09-01,46778
2014-10-01,49012
2014-11-01,49115
2014-12-01,51161
2015-01-01,49784
2015-02-01,45358
2015-03-01,49169
2015-04-01,48014
2015-05-01,50870
2015-06-01,48599
2015-07-01,50610
2015-08-01,49709
2015-09-01,47930
2015-10-01,49665
2015-11-01,49136
2015-12-01,51871
2016-01-01,49841
2016-02-01,46783
2016-03-01,50059
2016-04-01,48350
2016-05-01,50694
2016-06-01,49933
2016-07-01,50822
2016-08-01,50021
2016-09-01,49109
2016-10-01,50399
2016-11-01,50635
2016-12-01,54300
2017-01-01,50516
2017-02-01,47221
2017-03-01,52113
2017-04-01,51289
2017-05-01,53244
2017-06-01,51786
2017-07-01,52688
2017-08-01,52628
2017-09-01,51665
2017-10-01,52071
2017-11-01,53051
2017-12-01,56700
2018-01-01,52565
2018-02-01,48628
2018-03-01,54680
2018-04-01,50861
2018-05-01,55043
2018-06-01,53334
2018-07-01,53918
2018-08-01,54220
2018-09-01,52338
2018-10-01,53419
2018-11-01,54291
2018-12-01,56938
2019-01-01,55129
2019-02-01,49263
2019-03-01,54928
2019-04-01,53632
2019-05-01,57051
2019-06-01,55192
2019-07-01,56678
2019-08-01,57143
2019-09-01,53335
2019-10-01,55225
2019-11-01,56351
2019-12-01,57915
2020-01-01,55651
2020-02-01,52691
2020-03-01,70364
2020-04-01,61070
2020-05-01,64601
2020-06-01,60052
2020-07-01,62713
2020-08-01,60368
2020-09-01,58028
2020-10-01,60018
2020-11-01,60142
2020-12-01,63149
2021-01-01,61122
2021-02-01,55729
2021-03-01,60978
2021-04-01,59984
2021-05-01,64156
2021-06-01,62702
2021-07-01,64816
2021-08-01,64426
2021-09-01,63034
2021-10-01,65497
2021-11-01,64864
2021-12-01,69312
2022-01-01,65825
2022-02-01,60068
2022-03-01,65983
2022-04-01,65835
2022-05-01,68853
2022-06-01,68083
2022-07-01,69721
2022-08-01,68652
2022-09-01,67214
2022-10-01,69551
2022-11-01,70262
2022-12-01,74275
2023-01-01,68375
2023-02-01,63761
2023-03-01,69410
2023-04-01,68111
2023-05-01,71081
2023-06-01,68944
2023-07-01,70697
2023-08-01,70695
2023-09-01,68631
2023-10-01,69499
2023-11-01,70937
2023-12-01,74366
2024-01-01,69450
2024-02-01,66099
2024-03-01,71342
2024-04-01,67223
2024-05-01,73068
2024-06-01,70383
2024-07-01,72737
2024-08-01,72877
2024-09-01,69663
2024-10-01,72693
2024-11-01,73519
